htv_channel_dm.deviceid	htv_channel_dm.channelname	htv_channel_dm.play_duration	htv_channel_dm.date_time
005801FF0001005005D300692D37D4BB	CCTV1	41.0	20210901
005801FF0001005005D300692D37D4BB	CCTV11	9.0	20210901
005801FF0001005005D300692D37D4BB	CCTV12	20.0	20210901
005801FF0001005005D300692D37D4BB	CCTV15	4.0	20210901
005801FF0001005005D300692D37D4BB	CCTV7	30.0	20210901
005801FF0001005005D300692D37D4BB	北京卫	NULL	20210901
视	3809.0	NULL	20210901
005801FF0001005005D300692D37D4BD	CCTV13	11.0	20210901
005801FF0001005005D300692D37D4BD	CCTV3	34.0	20210901
005801FF0001005005D300692D37D4BD	东南卫	NULL	20210901
视	11.0	NULL	20210901
005801FF0001005005D300692D37D4BD	云南卫	NULL	20210901
视	6.0	NULL	20210901
005801FF0001005005D300692D37D4BD	其他直播频道	3719.0	20210901
005801FF0001005005D300692D37D4BD	山西卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D4BD	河北卫	NULL	20210901
视	8.0	NULL	20210901
005801FF0001005005D300692D37D4BD	浙江卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D4BD	湖北卫	NULL	20210901
视	3.0	NULL	20210901
005801FF0001005005D300692D37D4BD	重庆卫	NULL	20210901
视	12.0	NULL	20210901
005801FF0001005005D300692D37D4BE	CCTV10	2.0	20210901
005801FF0001005005D300692D37D4BE	CCTV5	6.0	20210901
005801FF0001005005D300692D37D4BE	CCTV6	0.0	20210901
005801FF0001005005D300692D37D4BE	CCTV8	1.0	20210901
005801FF0001005005D300692D37D4BE	云南卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D4BE	其他直播频道	60.0	20210901
005801FF0001005005D300692D37D4BE	宁夏卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D4BE	安徽卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D4BE	江苏卫	NULL	20210901
视	891.0	NULL	20210901
005801FF0001005005D300692D37D4BE	深圳卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D4C1	CCTV4	1.0	20210901
005801FF0001005005D300692D37D4C1	CCTV5	0.0	20210901
005801FF0001005005D300692D37D4C1	其他直播频道	10833.0	20210901
005801FF0001005005D300692D37D4C1	浙江卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D4C6	CCTV11	0.0	20210901
005801FF0001005005D300692D37D4C6	CCTV8	2.0	20210901
005801FF0001005005D300692D37D4C6	安徽卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D4C6	江西卫	NULL	20210901
视	1.0	NULL	20210901
005801FF0001005005D300692D37D4C6	河北卫	NULL	20210901
视	2.0	NULL	20210901
005801FF0001005005D300692D37D4C6	河南卫	NULL	20210901
视	1809.0	NULL	20210901
005801FF0001005005D300692D37D4C6	湖北卫	NULL	20210901
视	0.0	NULL	20210901
005801FF0001005005D300692D37D4CB	CCTV14	2.0	20210901
005801FF0001005005D300692D37D4CB	CCTV2	372.0	20210901
005801FF0001005005D300692D37D4CB	CCTV7	1.0	20210901
005801FF0001005005D300692D37D4CB	北京卫	NULL	20210901
视	2447.0	NULL	20210901
005801FF0001005005D300692D37D4CD	CCTV15	22.0	20210901
005801FF0001005005D300692D37D4CD	CCTV4	54.0	20210901
005801FF0001005005D300692D37D4CD	CCTV9	293.0	20210901
005801FF0001005005D300692D37D4CD	山东卫	NULL	20210901
视	18.0	NULL	20210901
005801FF0001005005D300692D37D4CD	贵州卫	NULL	20210901
视	1191.0	NULL	20210901
005801FF0001005005D300692D37D4CD	辽宁卫	NULL	20210901
