htv_region_dm.deviceid	htv_region_dm.city	htv_region_dm.province	htv_region_dm.date_time
005801FF0001005005D300692D37D71B	0938	58	20210901
005801FF0001005005D300692D37D725	0933	58	20210901
005801FF0001005005D300692D37D732	0938	58	20210901
005801FF0001005005D300692D37D737	0933	58	20210901
005801FF0001005005D300692D37D738	0938	58	20210901
005801FF0001005005D300692D37D76A	0933	58	20210901
005801FF0001005005D300692D37D7B9	0938	58	20210901
005801FF0001005005D300692D37D7EC	0933	58	20210901
005801FF0001005005D300692D37D7EE	0933	58	20210901
005801FF0001005005D300692D37D7F0	0933	58	20210901
005801FF0001005005D300692D37D819	0933	58	20210901
005801FF0001005005D300692D37D81A	0938	58	20210901
005801FF0001005005D300692D37D85F	0933	58	20210901
005801FF0001005005D300692D37D861	0933	58	20210901
005801FF0001005005D300692D37D872	0938	58	20210901
005801FF0001005005D300692D37D877	0939	58	20210901
005801FF0001005005D300692D37D883	0933	58	20210901
005801FF0001005005D300692D37D88B	0938	58	20210901
005801FF0001005005D300692D37D88C	0938	58	20210901
005801FF0001005005D300692D37D895	0938	58	20210901
005801FF0001005005D300692D37D89A	0938	58	20210901
005801FF0001005005D300692D37D8C1	0938	58	20210901
005801FF0001005005D300692D37D8D2	0938	58	20210901
005801FF0001005005D300692D37D914	0939	58	20210901
005801FF0001005005D300692D37D94C	0938	58	20210901
005801FF0001005005D300692D37D971	0939	58	20210901
005801FF0001005005D300692D37D976	0938	58	20210901
005801FF0001005005D300692D37D980	0938	58	20210901
005801FF0001005005D300692D37D9A3	0938	58	20210901
005801FF0001005005D300692D37D9A5	0938	58	20210901
005801FF0001005005D300692D37D9BA	0938	58	20210901
005801FF0001005005D300692D37D9C7	0938	58	20210901
005801FF0001005005D300692D37D9D6	0938	58	20210901
005801FF0001005005D300692D37D9DE	0938	58	20210901
005801FF0001005005D300692D37DA13	0938	58	20210901
005801FF0001005005D300692D37DA3A	0938	58	20210901
005801FF0001005005D300692D37DA57	0938	58	20210901
005801FF0001005005D300692D37DA5F	0938	58	20210901
005801FF0001005005D300692D37DA64	0933	58	20210901
005801FF0001005005D300692D37DABB	0938	58	20210901
005801FF0001005005D300692D37DAE9	0938	58	20210901
005801FF0001005005D300692D37DB28	0938	58	20210901
005801FF0001005005D300692D37DB43	0938	58	20210901
005801FF0001005005D300692D37DB57	0938	58	20210901
005801FF0001005005D300692D37DB8C	0938	58	20210901
005801FF0001005005D300692D37DBBF	0938	58	20210901
005801FF0001005005D300692D37DBDE	0938	58	20210901
005801FF0001005005D300692D37DBE8	0933	58	20210901
005801FF0001005005D300692D37DC2F	0938	58	20210901
005801FF0001005005D300692D37DC30	0939	58	20210901
005801FF0001005005D300692D37DC55	0938	58	20210901
005801FF0001005005D300692D37DC58	0938	58	20210901
005801FF0001005005D300692D37DC86	0938	58	20210901
005801FF0001005005D300692D37DCAD	0939	58	20210901
005801FF0001005005D300692D37DCB0	0938	58	20210901
005801FF0001005005D300692D37DCCA	0938	58	20210901
005801FF0001005005D300692D37DCCE	0938	58	20210901
005801FF0001005005D300692D37DCD3	0938	58	20210901
005801FF0001005005D300692D37DCDF	0938	58	20210901
005801FF0001005005D300692D37DCEC	0939	58	20210901
005801FF0001005005D300692D37DD18	0938	58	20210901
005801FF0001005005D300692D37DD36	0939	58	20210901
005801FF0001005005D300692D37DD37	0938	58	20210901
005801FF0001005005D300692D37DD5B	0938	58	20210901
005801FF0001005005D300692D37DD61	0939	58	20210901
005801FF0001005005D300692D37DD77	0938	58	20210901
005801FF0001005005D300692D37DD8D	0938	58	20210901
005801FF0001005005D300692D37DDBD	0939	58	20210901
005801FF0001005005D300692D37DE12	0938	58	20210901
005801FF0001005005D300692D37DEAC	0938	58	20210901
005801FF0001005005D300692D37DEB9	0938	58	20210901
005801FF0001005005D300692D37DF2B	0938	58	20210901
005801FF0001005005D300692D37DF51	0938	58	20210901
005801FF0001005005D300692D37DF53	0938	58	20210901
005801FF0001005005D300692D37DF96	0939	58	20210901
005801FF0001005005D300692D37DF97	0939	58	20210901
005801FF0001005005D300692D37DF9C	0938	58	20210901
005801FF0001005005D300692D37DF9F	0938	58	20210901
005801FF0001005005D300692D37E006	0939	58	20210901
005801FF0001005005D300692D37E04A	0939	58	20210901
005801FF0001005005D300692D37E06B	0938	58	20210901
005801FF0001005005D300692D37E0A7	0938	58	20210901
005801FF0001005005D300692D37E0B1	0938	58	20210901
005801FF0001005005D300692D37E0C5	0938	58	20210901
005801FF0001005005D300692D37E0D8	0938	58	20210901
005801FF0001005005D300692D37E111	0938	58	20210901
