htv_content_prefer_dm.deviceid	htv_content_prefer_dm.contenttype	htv_content_prefer_dm.hourtype	htv_content_prefer_dm.ranks	htv_content_prefer_dm.date_time
005801FF0001005005D300692D37DCB7	动漫	1	1	20210901
005801FF0001005005D300692D37DCB7	动漫	4	1	20210901
005801FF0001005005D300692D37DCD7	动漫	1	1	20210901
005801FF0001005005D300692D37DCD7	动漫	3	1	20210901
005801FF0001005005D300692D37DCF3	动漫	1	1	20210901
005801FF0001005005D300692D37DCF3	新闻	1	2	20210901
005801FF0001005005D300692D37DCF3	新闻	4	1	20210901
005801FF0001005005D300692D37DCF3	动漫	4	2	20210901
005801FF0001005005D300692D37DD59	电视剧	1	1	20210901
005801FF0001005005D300692D37DD59	电视剧	4	1	20210901
005801FF0001005005D300692D37DD6F	综艺	1	1	20210901
005801FF0001005005D300692D37DD80	电视剧	1	1	20210901
005801FF0001005005D300692D37DD80	动漫	1	2	20210901
005801FF0001005005D300692D37DD80	动漫	2	1	20210901
005801FF0001005005D300692D37DD80	动漫	3	1	20210901
005801FF0001005005D300692D37DD80	电视剧	3	2	20210901
005801FF0001005005D300692D37DD80	电视剧	4	1	20210901
005801FF0001005005D300692D37DDA1	动漫	1	1	20210901
005801FF0001005005D300692D37DDA1	动漫	3	1	20210901
005801FF0001005005D300692D37DDA6	电视剧	4	1	20210901
005801FF0001005005D300692D37DE23	动漫	1	1	20210901
005801FF0001005005D300692D37DF32	电视剧	1	1	20210901
005801FF0001005005D300692D37DF32	动漫	1	2	20210901
005801FF0001005005D300692D37DF32	电影	1	3	20210901
005801FF0001005005D300692D37DF32	动漫	2	1	20210901
005801FF0001005005D300692D37DF32	电影	2	2	20210901
005801FF0001005005D300692D37DF32	电视剧	2	3	20210901
005801FF0001005005D300692D37DF32	动漫	3	1	20210901
005801FF0001005005D300692D37DF32	电视剧	3	2	20210901
005801FF0001005005D300692D37DF32	电视剧	4	1	20210901
005801FF0001005005D300692D37DF32	电影	4	2	20210901
005801FF0001005005D300692D37DFCF	电视剧	2	1	20210901
005801FF0001005005D300692D37DFCF	电视剧	3	1	20210901
005801FF0001005005D300692D37E01D	动漫	3	1	20210901
005801FF0001005005D300692D37E01D	动漫	4	1	20210901
005801FF0001005005D300692D37E0D8	综艺	1	1	20210901
005801FF0001005005D300692D37E0D8	综艺	3	1	20210901
005801FF0001005005D300692D37E1DE	电视剧	4	1	20210901
005801FF0001005005D300692D37E24F	电影	1	1	20210901
005801FF0001005005D300692D37E259	新闻	1	1	20210901
005801FF0001005005D300692D37E259	新闻	2	1	20210901
005801FF0001005005D300692D37E4BF	少儿	1	1	20210901
005801FF0001005005D300692D37E4CB	新闻	4	1	20210901
005801FF0001005005D300692D37E4F9	新闻	1	1	20210901
005801FF0001005005D300692D37E4F9	新闻	3	1	20210901
005801FF0001005005D300692D37E4F9	新闻	4	1	20210901
005801FF0001005005D300692D37E56D	电视剧	4	1	20210901
005801FF0001005005D300692D37E5B7	电视剧	1	1	20210901
005801FF0001005005D300692D37E5F4	电视剧	3	1	20210901
005801FF0001005005D300692D37E5F4	电视剧	4	1	20210901
005801FF0001005005D300692D37E5F8	综艺	1	1	20210901
005801FF0001005005D300692D37E5F8	电视剧	1	2	20210901
005801FF0001005005D300692D37E5F8	电视剧	3	1	20210901
005801FF0001005005D300692D37E5F8	综艺	4	1	20210901
005801FF0001005005D300692D37E62B	动漫	1	1	20210901
005801FF0001005005D300692D37E62B	动漫	3	1	20210901
005801FF0001005005D300692D37E649	动漫	1	1	20210901
005801FF0001005005D300692D37E671	电视剧	1	1	20210901
005801FF0001005005D300692D37E671	电视剧	4	1	20210901
005801FF0001005005D300692D37E686	综艺	4	1	20210901
005801FF0001005005D300692D37E703	动漫	1	1	20210901
005801FF0001005005D300692D37E704	电影	3	1	20210901
005801FF0001005005D300692D37E72F	动漫	3	1	20210901
005801FF0001005005D300692D37E72F	动漫	4	1	20210901
005801FF0001005005D300692D37E750	电视剧	4	1	20210901
005801FF0001005005D300692D37E774	电影	1	1	20210901
005801FF0001005005D300692D37E843	电视剧	1	1	20210901
005801FF0001005005D300692D37E843	综艺	1	2	20210901
005801FF0001005005D300692D37E843	电视剧	3	1	20210901
005801FF0001005005D300692D37E843	电视剧	4	1	20210901
005801FF0001005005D300692D37E972	电视剧	1	1	20210901
005801FF0001005005D300692D37EA0D	电视剧	1	1	20210901
005801FF0001005005D300692D37EA0D	电视剧	2	1	20210901
005801FF0001005005D300692D37EA0D	电视剧	3	1	20210901
005801FF0001005005D300692D37EA0D	电视剧	4	1	20210901
005801FF0001005005D300692D37EA9E	电影	1	1	20210901
005801FF0001005005D300692D37EA9E	电影	4	1	20210901
005801FF0001005005D300692D37EAA9	电视剧	1	1	20210901
005801FF0001005005D300692D37EAA9	电视剧	4	1	20210901
005801FF0001005005D300692D37EAAB	电视剧	4	1	20210901
005801FF0001005005D300692D37EB06	电影	1	1	20210901
005801FF0001005005D300692D37EB36	电影	1	1	20210901
005801FF0001005005D300692D37EB36	动漫	1	2	20210901
005801FF0001005005D300692D37EB36	电影	3	1	20210901
005801FF0001005005D300692D37EB36	电影	4	1	20210901
005801FF0001005005D300692D37EB36	动漫	4	2	20210901
005801FF0001005005D300692D37EBCA	动漫	1	1	20210901
005801FF0001005005D300692D37EBCA	动漫	2	1	20210901
005801FF0001005005D300692D37EBCA	动漫	3	1	20210901
005801FF0001005005D300692D37EBEE	动漫	1	1	20210901
005801FF0001005005D300692D37EC2B	电视剧	1	1	20210901
005801FF0001005005D300692D37EC3C	电视剧	3	1	20210901
005801FF0001005005D300692D37EC3C	电视剧	4	1	20210901
005801FF0001005005D300692D37ECA2	动漫	1	1	20210901
005801FF0001005005D300692D37ECA2	动漫	3	1	20210901
005801FF0001005005D300692D37ED04	综艺	1	1	20210901
005801FF0001005005D300692D37ED04	电影	1	2	20210901
005801FF0001005005D300692D37ED04	综艺	2	1	20210901
005801FF0001005005D300692D37ED04	综艺	3	1	20210901
005801FF0001005005D300692D37ED04	电影	4	1	20210901
005801FF0001005005D300692D37ED04	综艺	4	2	20210901
005801FF0001005005D300692D37EDE2	动漫	1	1	20210901
005801FF0001005005D300692D37EDE2	动漫	2	1	20210901
005801FF0001005005D300692D37EE9A	动漫	1	1	20210901
005801FF0001005005D300692D37EE9A	动漫	4	1	20210901
005801FF0001005005D300692D37EEAF	电视剧	1	1	20210901
005801FF0001005005D300692D37EEC5	动漫	1	1	20210901
005801FF0001005005D300692D37EEC5	动漫	2	1	20210901
005801FF0001005005D300692D37EECB	动漫	1	1	20210901
005801FF0001005005D300692D37EF17	电视剧	4	1	20210901
005801FF0001005005D300692D37EF7E	动漫	4	1	20210901
005801FF0001005005D300692D37EFA8	电视剧	1	1	20210901
005801FF0001005005D300692D37EFA8	电视剧	4	1	20210901
005801FF0001005005D300692D37EFD0	新闻	3	1	20210901
005801FF0001005005D300692D37EFEB	动漫	4	1	20210901
005801FF0001005005D300692D37EFFB	动漫	3	1	20210901
005801FF0001005005D300692D37EFFB	动漫	4	1	20210901
005801FF0001005005D300692D37F067	动漫	1	1	20210901
005801FF0001005005D300692D37F067	动漫	2	1	20210901
005801FF0001005005D300692D37F067	动漫	3	1	20210901
005801FF0001005005D300692D37F067	动漫	4	1	20210901
005801FF0001005005D300692D37F09E	电视剧	3	1	20210901
005801FF0001005005D300692D37F09E	电视剧	4	1	20210901
005801FF0001005005D300692D37F0B8	电视剧	1	1	20210901
005801FF0001005005D300692D37F291	动漫	1	1	20210901
005801FF0001005005D300692D37F291	动漫	2	1	20210901
005801FF0001005005D300692D37F291	动漫	3	1	20210901
005801FF0001005005D300692D37F291	动漫	4	1	20210901
005801FF0001005005D300692D37F2CD	电视剧	4	1	20210901
005801FF0001005005D300692D37F378	纪实	1	1	20210901
