htv_child_order_dm.deviceid	htv_child_order_dm.child_light_not_order	htv_child_order_dm.child_middle_not_order	htv_child_order_dm.child_high_not_order	htv_child_order_dm.date_time
005801FF0001007001B960D21C44326C	1	0	0	20210901
005801FF0001007001B960D21C443330	0	0	1	20210901
005801FF0001007001B960D21C443384	1	0	0	20210901
005801FF0001007001B960D21C443391	1	0	0	20210901
005801FF0001007001B960D21C443396	0	1	0	20210901
005801FF0001007001B960D21C44345F	1	0	0	20210901
005801FF0001007001B960D21C443586	1	0	0	20210901
005801FF0001007001B960D21C4435AA	1	0	0	20210901
005801FF0001007001B960D21C4435CC	0	1	0	20210901
005801FF0001007001B960D21C4435E0	0	1	0	20210901
005801FF0001007001B960D21C4435E7	0	1	0	20210901
005801FF0001007001B960D21C4435F9	0	0	1	20210901
005801FF0001007001B960D21C443601	1	0	0	20210901
005801FF0001007001B960D21C443620	1	0	0	20210901
005801FF0001007001B960D21C443705	1	0	0	20210901
005801FF0001007001B960D21C443790	0	0	1	20210901
005801FF0001007001B960D21C4437AC	1	0	0	20210901
005801FF0001007001B960D21C443830	1	0	0	20210901
005801FF0001007001B960D21C443876	1	0	0	20210901
005801FF0001007001B960D21C4439A8	0	1	0	20210901
005801FF0001007001B960D21C443A90	0	1	0	20210901
005801FF0001007001B960D21C443AC1	0	1	0	20210901
005801FF0001007001B960D21C443AEA	0	0	1	20210901
005801FF0001007001B960D21C443AF2	1	0	0	20210901
005801FF0001007001B960D21C443DFF	0	0	1	20210901
005801FF0001007001B960D21C443E0F	0	1	0	20210901
005801FF0001007001B960D21C443EC5	0	1	0	20210901
005801FF0001007001B960D21C443EE5	1	0	0	20210901
005801FF0001007001B960D21C443F0C	1	0	0	20210901
005801FF0001007001B960D21C443F2C	1	0	0	20210901
005801FF0001007001B960D21C443F5C	1	0	0	20210901
005801FF0001007001B960D21C443F89	1	0	0	20210901
005801FF0001007001B960D21C444083	1	0	0	20210901
005801FF0001007001B960D21C444099	1	0	0	20210901
005801FF0001007001B960D21C444156	0	1	0	20210901
005801FF0001007001B960D21C44421B	1	0	0	20210901
005801FF0001007001B960D21C444246	1	0	0	20210901
005801FF0001007001B960D21C4442AE	0	0	1	20210901
005801FF0001007001B960D21C4442DC	0	0	1	20210901
005801FF0001007001B960D21C444333	0	1	0	20210901
005801FF0001007001B960D21C44436D	1	0	0	20210901
005801FF0001007001B960D21C44447F	1	0	0	20210901
005801FF0001007001B960D21C444495	1	0	0	20210901
005801FF0001007001B960D21C444522	1	0	0	20210901
005801FF0001007001B960D21C444526	0	1	0	20210901
005801FF0001007001B960D21C444547	1	0	0	20210901
005801FF0001007001B960D21C444732	0	0	1	20210901
005801FF0001007001B960D21C4447CB	0	1	0	20210901
005801FF0001007001B960D21C444822	1	0	0	20210901
005801FF0001007001B960D21C4448B9	1	0	0	20210901
005801FF0001007001B960D21C444BC7	1	0	0	20210901
005801FF0001007001B960D21C444C17	1	0	0	20210901
005801FF0001007003B860D21C3E1A8C	1	0	0	20210901
005801FF0001007003B860D21C3E1AB1	1	0	0	20210901
005801FF0001007003B860D21C3E1AD9	1	0	0	20210901
