htv_tv_order_dm.deviceid	htv_tv_order_dm.tv_light_not_order	htv_tv_order_dm.tv_middle_not_order	htv_tv_order_dm.tv_high_not_order	htv_tv_order_dm.date_time
005801FF0001005005D300692D37FE90	1	0	0	20210901
005801FF0001005005D300692D37FEB5	0	1	0	20210901
005801FF0001005005D300692D37FECC	0	1	0	20210901
005801FF0001005005D300692D37FED7	1	0	0	20210901
005801FF0001005005D300692D37FEF4	0	0	1	20210901
005801FF0001005005D300692D37FEF9	0	1	0	20210901
005801FF0001005005D300692D37FF2E	0	1	0	20210901
005801FF0001005005D300692D37FF51	1	0	0	20210901
005801FF0001005005D300692D37FF87	1	0	0	20210901
005801FF0001005005D300692D37FFBA	1	0	0	20210901
005801FF0001005005D300692D380061	0	1	0	20210901
005801FF0001005005D300692D38006D	0	1	0	20210901
005801FF0001005005D300692D3800FC	0	1	0	20210901
005801FF0001005005D300692D380133	0	0	1	20210901
005801FF0001005005D300692D38013D	1	0	0	20210901
005801FF0001005005D300692D3801CA	0	1	0	20210901
005801FF0001005005D300692D3801FC	0	0	1	20210901
005801FF0001005005D300692D3802FE	0	0	1	20210901
005801FF0001005005D300692D380345	0	1	0	20210901
005801FF0001005005D300692D380413	1	0	0	20210901
005801FF0001005005D300692D380439	0	1	0	20210901
005801FF0001005005D300692D38048F	0	1	0	20210901
005801FF0001005005D300692D3804D0	0	0	1	20210901
005801FF0001005005D300692D3804DB	1	0	0	20210901
005801FF0001005005D300692D38054F	0	1	0	20210901
005801FF0001005005D300692D38058B	0	0	1	20210901
005801FF0001005005D300692D3805B2	0	0	1	20210901
005801FF0001005005D300692D380626	0	1	0	20210901
005801FF0001005005D300692D38063D	0	0	1	20210901
005801FF0001005005D300692D38065A	1	0	0	20210901
005801FF0001005005D300692D380732	1	0	0	20210901
005801FF0001005005D300692D380733	0	1	0	20210901
005801FF0001005005D300692D380735	1	0	0	20210901
005801FF0001005005D300692D3807AE	0	1	0	20210901
005801FF0001005005D300692D3807BE	1	0	0	20210901
005801FF0001005005D300692D3807F9	1	0	0	20210901
005801FF0001005005D300692D380811	1	0	0	20210901
005801FF0001005005D300692D38085F	1	0	0	20210901
005801FF0001005005D300692D38086A	0	1	0	20210901
005801FF0001005005D300692D3808C5	1	0	0	20210901
005801FF0001005005D300692D3808E6	0	0	1	20210901
005801FF0001005005D300692D38091F	1	0	0	20210901
005801FF0001005005D300692D3809A2	1	0	0	20210901
005801FF0001005005D300692D3809B0	0	1	0	20210901
005801FF0001005005D300692D3809ED	0	0	1	20210901
005801FF0001005005D300692D380A91	0	1	0	20210901
005801FF0001005005D300692D380B0B	0	0	1	20210901
005801FF0001005005D300692D380B4F	0	1	0	20210901
005801FF0001005005D300692D380B5E	0	1	0	20210901
005801FF0001005005D300692D380BB8	0	1	0	20210901
005801FF0001005005D300692D380BC7	0	1	0	20210901
005801FF0001005005D300692D380BDD	0	1	0	20210901
005801FF0001005005D300692D380C06	1	0	0	20210901
005801FF0001005005D300692D380C51	0	0	1	20210901
005801FF0001005005D300692D380C63	0	1	0	20210901
005801FF0001005005D300692D380C68	1	0	0	20210901
005801FF0001005005D300692D380C6F	0	1	0	20210901
005801FF0001005005D300692D380CA1	0	0	1	20210901
005801FF0001005005D300692D380D14	0	0	1	20210901
005801FF0001005005D300692D380D35	1	0	0	20210901
005801FF0001005005D300692D380D4F	0	1	0	20210901
005801FF0001005005D300692D380D6E	0	0	1	20210901
005801FF0001005005D300692D380D7C	0	1	0	20210901
005801FF0001005005D300692D380DD5	0	1	0	20210901
005801FF0001005005D300692D380E03	0	1	0	20210901
005801FF0001005005D300692D380E0A	1	0	0	20210901
005801FF0001005005D300692D380E23	0	0	1	20210901
005801FF0001005005D300692D380E2F	0	0	1	20210901
005801FF0001005005D300692D380F0E	0	1	0	20210901
005801FF0001005005D300692D380F29	0	0	1	20210901
005801FF0001005005D300692D380F36	0	1	0	20210901
005801FF0001005005D300692D380F49	1	0	0	20210901
005801FF0001005005D300692D380F8D	1	0	0	20210901
005801FF0001005005D300692D380F8E	0	1	0	20210901
005801FF0001005005D300692D380FA6	1	0	0	20210901
005801FF0001005005D300692D380FD2	0	0	1	20210901
005801FF0001005005D300692D380FD8	1	0	0	20210901
005801FF0001005005D300692D380FEC	0	1	0	20210901
005801FF0001005005D300692D381006	1	0	0	20210901
005801FF0001005005D300692D381034	0	0	1	20210901
005801FF0001005005D300692D381035	0	0	1	20210901
005801FF0001005005D300692D381054	1	0	0	20210901
005801FF0001005005D300692D3810B7	0	1	0	20210901
005801FF0001005005D300692D3810E3	0	1	0	20210901
005801FF0001005005D300692D381116	0	1	0	20210901
005801FF0001005005D300692D381122	1	0	0	20210901
005801FF0001005005D300692D38117A	0	0	1	20210901
005801FF0001005005D300692D3811CE	1	0	0	20210901
005801FF0001005005D300692D38120B	1	0	0	20210901
005801FF0001005005D300692D381248	1	0	0	20210901
005801FF0001005005D300692D38125E	0	1	0	20210901
005801FF0001005005D300692D38126F	1	0	0	20210901
005801FF0001005005D300692D3812B4	1	0	0	20210901
005801FF0001005005D300692D3812CE	0	0	1	20210901
005801FF0001005005D300692D381376	1	0	0	20210901
005801FF0001005005D300692D381379	0	0	1	20210901
005801FF0001005005D300692D3813EB	0	1	0	20210901
005801FF0001005005D300692D38141D	1	0	0	20210901
005801FF0001005005D300692D381443	0	0	1	20210901
005801FF0001005005D300692D38144C	0	1	0	20210901
005801FF0001005005D300692D381479	0	0	1	20210901
005801FF0001005005D300692D381580	0	0	1	20210901
005801FF0001005005D300692D38160D	0	1	0	20210901
005801FF0001005005D300692D38165B	0	1	0	20210901
005801FF0001005005D300692D3816CC	0	0	1	20210901
005801FF0001005005D300692D3816DD	1	0	0	20210901
005801FF0001005005D300692D3816FE	0	1	0	20210901
005801FF0001005005D300692D381731	0	0	1	20210901
005801FF0001005005D300692D38175A	0	1	0	20210901
005801FF0001005005D300692D381786	1	0	0	20210901
005801FF0001005005D300692D38179C	0	0	1	20210901
005801FF0001005005D300692D3818D7	0	0	1	20210901
005801FF0001005005D300692D38199A	0	0	1	20210901
005801FF0001005005D300692D3819FE	0	1	0	20210901
005801FF0001005005D300692D381A13	0	1	0	20210901
005801FF0001005005D300692D381A29	1	0	0	20210901
005801FF0001005005D300692D381A4D	1	0	0	20210901
005801FF0001005005D300692D381A6D	1	0	0	20210901
005801FF0001005005D300692D381A7A	0	0	1	20210901
005801FF0001005005D300692D381ABA	1	0	0	20210901
005801FF0001005005D300692D381B12	0	0	1	20210901
005801FF0001005005D300692D381B2E	1	0	0	20210901
005801FF0001005005D300692D381B57	0	1	0	20210901
005801FF0001005005D300692D381B6A	1	0	0	20210901
005801FF0001005005D300692D381BC9	0	0	1	20210901
005801FF0001005005D300692D381C15	1	0	0	20210901
005801FF0001005005D300692D381C1C	0	1	0	20210901
005801FF0001005005D300692D381CD9	1	0	0	20210901
005801FF0001005005D300692D381CF1	1	0	0	20210901
005801FF0001005005D300692D381CF4	1	0	0	20210901
005801FF0001005005D300692D381D31	0	0	1	20210901
005801FF0001005005D300692D381D5A	1	0	0	20210901
005801FF0001005005D300692D381D6C	0	1	0	20210901
005801FF0001005005D300692D381DC0	0	1	0	20210901
005801FF0001005005D300692D381E5A	0	0	1	20210901
005801FF0001005005D300692D381E7A	0	1	0	20210901
005801FF0001005005D300692D381E7D	0	1	0	20210901
005801FF0001005005D300692D381E8B	1	0	0	20210901
005801FF0001005005D300692D381EB3	1	0	0	20210901
005801FF0001005005D300692D381ED3	0	0	1	20210901
005801FF0001005005D300692D381EDA	1	0	0	20210901
005801FF0001005005D300692D381F17	0	0	1	20210901
005801FF0001005005D300692D381F44	0	1	0	20210901
005801FF0001005005D300692D381F8E	0	1	0	20210901
005801FF0001005005D300692D381FD5	1	0	0	20210901
005801FF0001005005D300692D381FDB	1	0	0	20210901
005801FF0001005005D300692D381FF5	0	1	0	20210901
005801FF0001005005D300692D38202E	0	1	0	20210901
005801FF0001005006D400692D3D9C52	0	0	1	20210901
005801FF0001005006D400692D3D9C96	0	1	0	20210901
005801FF0001005006D400692D3D9D24	0	0	1	20210901
005801FF0001005006D400692D3D9D80	0	0	1	20210901
005801FF0001005006D400692D3D9D8D	0	0	1	20210901
005801FF0001005006D400692D3D9DC4	0	0	1	20210901
005801FF0001005006D400692D3D9DF1	1	0	0	20210901
005801FF0001005006D400692D3D9E6B	1	0	0	20210901
005801FF0001005006D400692D3D9E70	1	0	0	20210901
005801FF0001005006D400692D3D9E7B	0	0	1	20210901
005801FF0001005006D400692D3D9E90	1	0	0	20210901
005801FF0001005006D400692D3D9EA0	1	0	0	20210901
005801FF0001005006D400692D3D9F48	1	0	0	20210901
005801FF0001005006D400692D3D9FCA	0	0	1	20210901
005801FF0001005006D400692D3DA021	1	0	0	20210901
005801FF0001005006D400692D3DA043	0	0	1	20210901
005801FF0001005006D400692D3DA07A	0	1	0	20210901
005801FF0001005006D400692D3DA0FF	1	0	0	20210901
005801FF0001005006D400692D3DA219	0	1	0	20210901
005801FF0001005006D400692D3DA2AE	0	1	0	20210901
005801FF0001005006D400692D3DA303	1	0	0	20210901
005801FF0001005006D400692D3DA4A7	0	1	0	20210901
005801FF0001005006D400692D3DA4EB	0	1	0	20210901
005801FF0001005006D400692D3DA50A	1	0	0	20210901
005801FF0001005006D400692D3DA648	0	1	0	20210901
005801FF0001005006D400692D3DA65D	1	0	0	20210901
005801FF0001005006D400692D3DA6A5	0	0	1	20210901
005801FF0001005006D400692D3DA719	0	0	1	20210901
005801FF0001005006D400692D3DA784	0	1	0	20210901
005801FF0001005006D400692D3DA793	1	0	0	20210901
