htv_film_order_dm.deviceid	htv_film_order_dm.film_light_not_order	htv_film_order_dm.film_middle_not_order	htv_film_order_dm.film_high_not_order	htv_film_order_dm.date_time
005801FF0001005005D300692D37E6DE	1	0	0	20210901
005801FF0001005005D300692D37E704	0	1	0	20210901
005801FF0001005005D300692D37E74B	1	0	0	20210901
005801FF0001005005D300692D37E774	1	0	0	20210901
005801FF0001005005D300692D37E783	1	0	0	20210901
005801FF0001005005D300692D37E82F	1	0	0	20210901
005801FF0001005005D300692D37E89D	0	1	0	20210901
005801FF0001005005D300692D37EA9E	1	0	0	20210901
005801FF0001005005D300692D37EABC	1	0	0	20210901
005801FF0001005005D300692D37EB2A	1	0	0	20210901
005801FF0001005005D300692D37EB36	1	0	0	20210901
005801FF0001005005D300692D37EC1D	1	0	0	20210901
005801FF0001005005D300692D37ED04	1	0	0	20210901
005801FF0001005005D300692D37ED43	0	1	0	20210901
005801FF0001005005D300692D37EDA2	1	0	0	20210901
005801FF0001005005D300692D37EDEA	1	0	0	20210901
005801FF0001005005D300692D37EE09	1	0	0	20210901
005801FF0001005005D300692D37EEF3	0	1	0	20210901
005801FF0001005005D300692D37F038	1	0	0	20210901
005801FF0001005005D300692D37F064	1	0	0	20210901
005801FF0001005005D300692D37F19A	0	1	0	20210901
005801FF0001005005D300692D37F1FB	1	0	0	20210901
005801FF0001005005D300692D37F1FC	1	0	0	20210901
005801FF0001005005D300692D37F213	1	0	0	20210901
005801FF0001005005D300692D37F26F	1	0	0	20210901
005801FF0001005005D300692D37F2A5	1	0	0	20210901
005801FF0001005005D300692D37F3D0	1	0	0	20210901
005801FF0001005005D300692D37F4DC	0	1	0	20210901
005801FF0001005005D300692D37F6D3	1	0	0	20210901
005801FF0001005005D300692D37F6E9	0	1	0	20210901
005801FF0001005005D300692D37F7E6	1	0	0	20210901
005801FF0001005005D300692D37F7F5	1	0	0	20210901
005801FF0001005005D300692D37F816	0	1	0	20210901
005801FF0001005005D300692D37F8A7	0	1	0	20210901
005801FF0001005005D300692D37F8E3	1	0	0	20210901
005801FF0001005005D300692D37FA30	0	1	0	20210901
005801FF0001005005D300692D37FA34	0	1	0	20210901
005801FF0001005005D300692D37FA46	1	0	0	20210901
005801FF0001005005D300692D37FADD	0	1	0	20210901
005801FF0001005005D300692D37FB65	0	1	0	20210901
005801FF0001005005D300692D37FC26	1	0	0	20210901
005801FF0001005005D300692D37FCB5	1	0	0	20210901
005801FF0001005005D300692D37FD8C	0	0	1	20210901
005801FF0001005005D300692D37FDD3	1	0	0	20210901
005801FF0001005005D300692D37FE69	1	0	0	20210901
005801FF0001005005D300692D37FE6A	0	1	0	20210901
005801FF0001005005D300692D37FED7	0	1	0	20210901
005801FF0001005005D300692D37FEF4	1	0	0	20210901
005801FF0001005005D300692D37FEF9	1	0	0	20210901
005801FF0001005005D300692D37FF0F	1	0	0	20210901
005801FF0001005005D300692D37FF51	1	0	0	20210901
005801FF0001005005D300692D37FF5D	1	0	0	20210901
005801FF0001005005D300692D37FFDA	0	1	0	20210901
005801FF0001005005D300692D380061	1	0	0	20210901
005801FF0001005005D300692D38008F	0	1	0	20210901
005801FF0001005005D300692D380192	1	0	0	20210901
005801FF0001005005D300692D380325	1	0	0	20210901
005801FF0001005005D300692D38045E	0	1	0	20210901
005801FF0001005005D300692D3804A2	0	0	1	20210901
005801FF0001005005D300692D3804B6	1	0	0	20210901
005801FF0001005005D300692D38052A	1	0	0	20210901
005801FF0001005005D300692D38055B	1	0	0	20210901
005801FF0001005005D300692D3805D0	0	1	0	20210901
005801FF0001005005D300692D380659	1	0	0	20210901
005801FF0001005005D300692D380732	1	0	0	20210901
005801FF0001005005D300692D38074F	1	0	0	20210901
005801FF0001005005D300692D380775	1	0	0	20210901
005801FF0001005005D300692D3807F4	0	1	0	20210901
005801FF0001005005D300692D3807F9	1	0	0	20210901
005801FF0001005005D300692D380806	1	0	0	20210901
005801FF0001005005D300692D380948	1	0	0	20210901
005801FF0001005005D300692D380A0C	0	1	0	20210901
005801FF0001005005D300692D380ABF	1	0	0	20210901
005801FF0001005005D300692D380BC7	1	0	0	20210901
005801FF0001005005D300692D380C68	1	0	0	20210901
005801FF0001005005D300692D380CA1	1	0	0	20210901
005801FF0001005005D300692D380D34	0	1	0	20210901
005801FF0001005005D300692D380DDC	0	1	0	20210901
005801FF0001005005D300692D380E06	1	0	0	20210901
005801FF0001005005D300692D380E11	0	1	0	20210901
005801FF0001005005D300692D380E1D	1	0	0	20210901
005801FF0001005005D300692D380E27	1	0	0	20210901
005801FF0001005005D300692D380E28	1	0	0	20210901
005801FF0001005005D300692D380E69	1	0	0	20210901
005801FF0001005005D300692D380F4E	1	0	0	20210901
005801FF0001005005D300692D380F67	1	0	0	20210901
005801FF0001005005D300692D380F87	0	0	1	20210901
005801FF0001005005D300692D380F8D	1	0	0	20210901
005801FF0001005005D300692D380FD2	0	0	1	20210901
005801FF0001005005D300692D381003	1	0	0	20210901
005801FF0001005005D300692D381047	1	0	0	20210901
005801FF0001005005D300692D38105E	1	0	0	20210901
005801FF0001005005D300692D3810AB	1	0	0	20210901
005801FF0001005005D300692D381122	1	0	0	20210901
005801FF0001005005D300692D381129	1	0	0	20210901
005801FF0001005005D300692D381130	1	0	0	20210901
005801FF0001005005D300692D381161	0	1	0	20210901
005801FF0001005005D300692D3811BF	0	1	0	20210901
005801FF0001005005D300692D381248	1	0	0	20210901
005801FF0001005005D300692D3812AB	0	1	0	20210901
005801FF0001005005D300692D3812C3	1	0	0	20210901
005801FF0001005005D300692D3813A9	1	0	0	20210901
005801FF0001005005D300692D381432	1	0	0	20210901
005801FF0001005005D300692D3814DD	0	1	0	20210901
005801FF0001005005D300692D381535	1	0	0	20210901
005801FF0001005005D300692D381580	1	0	0	20210901
005801FF0001005005D300692D381599	0	1	0	20210901
005801FF0001005005D300692D3815A0	0	1	0	20210901
005801FF0001005005D300692D3817D4	0	0	1	20210901
