htv_yearslabel_dm.deviceid	htv_yearslabel_dm.v_b1	htv_yearslabel_dm.v_b2	htv_yearslabel_dm.v_b3	htv_yearslabel_dm.v_b4	htv_yearslabel_dm.v_b5	htv_yearslabel_dm.v_b6	htv_yearslabel_dm.v_b7	htv_yearslabel_dm.v_b8	htv_yearslabel_dm.v_b9	htv_yearslabel_dm.v_b10	htv_yearslabel_dm.date_time
005801FF0001005005D300692D37D666	0	0	0	1	1	1	1	0	0	0	20210901
005801FF0001005005D300692D37D6D8	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D70E	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D71B	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D733	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D749	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D74F	0	0	0	0	1	0	0	0	0	0	20210901
005801FF0001005005D300692D37D7BF	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D7C5	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D7D5	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D7D6	1	0	0	0	0	1	1	0	0	0	20210901
005801FF0001005005D300692D37D800	0	0	1	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D808	0	0	0	0	1	0	0	0	0	0	20210901
005801FF0001005005D300692D37D81A	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D81D	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D846	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D85F	1	0	0	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D886	1	1	1	1	1	0	0	0	0	0	20210901
005801FF0001005005D300692D37D895	0	0	0	0	1	0	1	0	0	0	20210901
005801FF0001005005D300692D37D896	0	0	1	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D8A7	0	0	0	1	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D8B7	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D8C1	0	1	0	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D8D2	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D8FF	1	0	0	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37D914	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D93C	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D952	0	0	0	0	1	0	0	0	0	0	20210901
005801FF0001005005D300692D37D979	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D994	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D998	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D9BB	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37D9DA	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DA0C	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DA3C	0	0	0	0	1	0	0	0	0	0	20210901
005801FF0001005005D300692D37DA68	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DA69	1	1	0	1	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37DA6C	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DA6D	0	1	0	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37DA82	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DA95	0	0	0	0	1	0	0	0	0	0	20210901
005801FF0001005005D300692D37DAAB	0	0	1	0	0	0	0	0	0	0	20210901
005801FF0001005005D300692D37DAAE	0	0	0	0	1	0	0	0	0	0	20210901
005801FF0001005005D300692D37DABB	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DAD0	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DB14	0	0	0	0	0	1	0	0	0	0	20210901
005801FF0001005005D300692D37DB16	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DB62	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DB8C	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DB9E	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DBBF	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DC27	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DC69	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DC8B	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DC8E	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DC94	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DC95	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DC9A	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DCBE	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DCD7	0	0	0	0	0	0	0	0	0	1	20210901
005801FF0001005005D300692D37DD0F	0	0	0	0	0	0	0	0	0	1	20210901
